Название,Способ обработки,Тип,Описание,Плотность,Кислотность,Количество,Единица,Цена,Цена за кг/шт,Рейтинг,Число отзывов
Натти,смесь,для эспрессо,"Плотный кофе с нотами жареных орехов , печенья и нуги",0.6,0.0,1000,г,2269,2269.0,4.7,5042
Бразилия Серрадо,натуральный,для эспрессо,"Плотный кофе с нотами жареных орехов , шоколада и карамели",0.6,0.4,1000,г,2209,2209.0,4.7,6030
Эфиопия Иргачефф,натуральный,для эспрессо,"Сладкий кофе с нотами тёмных ягод , цитрусов и молочного шоколада",0.6,0.6,1000,г,2379,2379.0,4.7,5633
Кэнди,смесь,для эспрессо,"Плотный кофе с нотами тёмной карамели , цукатов и специй",1.0,0.2,1000,г,2499,2499.0,4.7,3251
БразилияСуль-де-Минас,натуральный,для фильтра,"Сладкий кофе с нотами арахиса , пудры какао и цедры лимона",0.6,0.4,1000,г,2379,2379.0,4.6,2677
Бэрри,смесь,для эспрессо,"Плотный кофе с нотами ореховой пасты , тёмных ягод и печенья",0.8,0.4,1000,г,2479,2479.0,4.7,2368
Брауни,смесь,для эспрессо,"Плотный кофе с нотами тёмного шоколада , изюма и ореховой пасты",0.8,0.4,1000,г,2599,2599.0,4.7,1051
Колумбия Богота,мытый,для эспрессо,"Сочный кофе с нотами тёмного винограда , красного яблока и тёмного шоколада",0.6,0.8,1000,г,2599,2599.0,4.6,1010
Батч-Брю,смесь,для фильтра,"Сладкий кофе с нотами вишни , абрикоса , белого винограда и чёрного чая",0.6,0.6,1000,г,2509,2509.0,4.5,2295
Гватемала Фуэго,мытый,для эспрессо,"Сладкий кофе с нотами апельсина , сухофруктов и молочного шоколада",0.6,0.6,1000,г,2599,2599.0,4.6,653
Гватемала Сантьяго,мытый,для фильтра,"Сладкий кофе с нотами апельсина , сухофруктов и молочного шоколада",0.6,0.6,1000,г,2599,2599.0,4.6,971
Колумбия Уила,мытый,для фильтра,"Сочный кофе с нотами красного яблока , тёмного винограда и какао",0.6,0.8,1000,г,2599,2599.0,4.6,1978
Фрутти,смесь,для эспрессо,"Сладкий кофе с нотами абрикоса , молочного шоколада и сухофруктов",0.4,0.6,1000,г,2679,2679.0,4.6,478
Бэрри,смесь,дрип-пакеты,"Плотный кофе с нотами ореховой пасты , темных ягод и печенья",0.8,0.4,10,шт,579,57.9,4.8,630
