Товар,Поставщик,Цена,Количество,Единица,Цена за кг/л,Рейтинг
кофе,rioba,2349.0,1,кг,2349.0,4.6
кофе,rioba,2249.0,1,кг,2249.0,4.3
кофе,rioba,2149.0,1,кг,2149.0,4.5
кофе,piazza del caffe,1599.0,1,кг,1599.0,5.0
кофе,fresco,1899.0,1,кг,1899.0,4.3
кофе,aro,3599.0,1,кг,3599.0,4.3
кофе,fresco,1899.0,1,кг,1899.0,4.0
кофе,kimbo,2699.0,1,кг,2699.0,4.6
кофе,fresco,1899.0,1,кг,1899.0,4.5
кофе,rioba,1849.0,1,кг,1849.0,
кофе,bushido,2799.0,1,кг,2799.0,4.8
кофе,egoiste,2599.0,1,кг,2599.0,4.6
кофе,piazza del caffe,1299.0,1,кг,1299.0,4.0
кофе,aro,1499.0,1,кг,1499.0,4.0
кофе,julius meinl,2699.0,1,кг,2699.0,4.3
кофе,jardin,2249.0,1,кг,2249.0,5.0
кофе,poetti,1699.0,1,кг,1699.0,5.0
кофе,poetti,1899.0,1,кг,1899.0,4.7
кофе,egoiste,2299.0,1,кг,2299.0,4.1
кофе,egoiste,2299.0,1,кг,2299.0,4.6
кофе,bushido,2799.0,1,кг,2799.0,5.0
кофе,alta roma,2199.0,1,кг,2199.0,4.5
кофе,ambassador,1399.0,1,кг,1399.0,
кофе,aro,3299.0,1,кг,3299.0,4.3
кофе,egoiste,2599.0,1,кг,2599.0,4.2
кофе,poetti,1999.0,1,кг,1999.0,
кофе,fresco,1599.0,1,кг,1599.0,
кофе,alta roma,1699.0,1,кг,1699.0,4.5
кофе,rioba,1569.0,500,г,3138.0,4.8
кофе,bushido,2899.0,1,кг,2899.0,
кофе,alta roma,1599.0,1,кг,1599.0,5.0
кофе,jardin,1799.0,1,кг,1799.0,4.3
кофе,jardin,2249.0,1,кг,2249.0,4.3
кофе,julius meinl,2899.0,1,кг,2899.0,4.8
кофе,jardin,1799.0,1,кг,1799.0,
кофе,piazza del caffe,1299.0,900,г,1443.33,
кофе,kimbo,2799.0,1,кг,2799.0,4.0
кофе,jardin,2249.0,1,кг,2249.0,4.5
кофе,julius meinl,2799.0,1,кг,2799.0,4.4
кофе,jardin,1799.0,1,кг,1799.0,5.0
кофе,kimbo,3599.0,1,кг,3599.0,4.3
кофе,lebo,2199.0,1,кг,2199.0,
кофе,poetti,1699.0,800,г,2123.75,
кофе,fresco,1499.0,800,г,1873.75,5.0
кофе,update,1399.0,1,кг,1399.0,
кофе,illy,1299.0,250,г,5196.0,5.0
кофе,coferium,1399.0,1,кг,1399.0,4.1
кофе,lebo,1599.0,1,кг,1599.0,
кофе,alta roma,2199.0,1,кг,2199.0,
кофе,fresco,1699.0,900,г,1887.78,
кофе,piazza del caffe,1199.0,800,г,1498.75,
кофе,illy,1299.0,250,г,5196.0,4.6
кофе,bushido,699.0,227,г,3079.3,4.8
кофе,ambassador,1999.0,1,кг,1999.0,4.7
кофе,poetti,1999.0,1,кг,1999.0,4.0
кофе,aro,1899.0,1,кг,1899.0,4.0
кофе,ambassador,1999.0,1,кг,1999.0,
кофе,update,1299.0,1,кг,1299.0,
кофе,julius meinl,3699.0,1,кг,3699.0,4.0
кофе,,5499.0,1,кг,5499.0,5.0
кофе,julius meinl,2599.0,1,кг,2599.0,
кофе,coffesso,1699.0,1,кг,1699.0,5.0
кофе,fresco,1599.0,900,г,1776.67,4.0
кофе,julius meinl,1349.0,500,г,2698.0,
кофе,jardin,1899.0,1,кг,1899.0,5.0
кофе,kimbo,2799.0,1,кг,2799.0,4.3
кофе,alta roma,2199.0,1,кг,2199.0,5.0
кофе,egoiste,2499.0,1,кг,2499.0,4.3
кофе,julius meinl,2499.0,1,кг,2499.0,4.2
кофе,poetti,1999.0,1,кг,1999.0,
кофе,kimbo,3299.0,1,кг,3299.0,5.0
кофе,julius meinl,1299.0,500,г,2598.0,
кофе,julius meinl,2799.0,1,кг,2799.0,5.0
кофе,poetti,1499.0,1,кг,1499.0,
кофе,barbera,2999.0,1,кг,2999.0,
кофе,bushido,699.0,227,г,3079.3,4.9
кофе,poetti,1999.0,1,кг,1999.0,5.0
кофе,miscela d'oro,1999.0,1,кг,1999.0,4.0
кофе,aro,989.0,800,г,1236.25,
кофе,,4999.0,1,кг,4999.0,
кофе,lavazza,999.0,250,г,3996.0,4.2
кофе,fresco,1799.0,900,г,1998.89,5.0
кофе,poetti,1499.0,750,г,1998.67,4.0
кофе,verle,2199.0,1,кг,2199.0,
кофе,lebo,1999.0,1,кг,1999.0,
кофе,egoiste,9196.0,4,шт,2299.0,5.0
кофе,сварщица екатерина,999.0,250,г,3996.0,
кофе,coffesso,1599.0,1,кг,1599.0,
кофе,coffesso,1999.0,1,кг,1999.0,
кофе,egoiste,729.0,250,г,2916.0,4.0
кофе,miscela d'oro,3199.0,1,кг,3199.0,5.0
кофе,bialetti,2699.0,1,кг,2699.0,5.0
кофе,alta roma,1799.0,1,кг,1799.0,5.0
кофе,italco,2499.0,1,кг,2499.0,
кофе,poetti,499.0,250,г,1996.0,
кофе,carte noire,2099.0,800,г,2623.75,4.7
кофе,kimbo,3999.0,1,кг,3999.0,5.0
кофе,g-drive,2199.0,1,кг,2199.0,5.0
кофе,zabelini,2699.0,1,кг,2699.0,
кофе,zabelini,2699.0,1,кг,2699.0,
кофе,starbucks,3899.0,450,г,8664.44,
кофе,molinari,4499.0,1,кг,4499.0,
кофе,egoiste,699.0,250,г,2796.0,5.0
кофе,alta roma,2699.0,1,кг,2699.0,5.0
кофе,fresco,399.0,200,г,1995.0,
кофе,lebo,2499.0,1,кг,2499.0,
кофе,barbera,2499.0,1,кг,2499.0,
кофе,lebo,2499.0,1,кг,2499.0,5.0
кофе,aro,1599.0,500,г,3198.0,5.0
кофе,miscela d'oro,2299.0,1,кг,2299.0,
кофе,egoiste,699.0,250,г,2796.0,
кофе,g-drive,2499.0,1,кг,2499.0,
кофе,alta roma,2999.0,1,кг,2999.0,
кофе,molinari,1299.0,250,г,5196.0,4.0
кофе,molinari,3899.0,1,кг,3899.0,
кофе,illy,1299.0,250,г,5196.0,4.3
кофе,сварщица екатерина,1199.0,250,г,4796.0,5.0
кофе,aro,2499.0,1,кг,2499.0,
кофе,alta roma,2299.0,1,кг,2299.0,5.0
кофе,kimbo,3599.0,1,кг,3599.0,
кофе,verle,2199.0,1,кг,2199.0,
кофе,molinari,3299.0,1,кг,3299.0,
кофе,piazza del caffe,429.0,230,г,1865.22,
кофе,carte noire,719.0,200,г,3595.0,5.0
кофе,poetti,529.0,250,г,2116.0,
кофе,carte noire,2099.0,800,г,2623.75,4.5
кофе,aro,329.0,250,г,1316.0,
кофе,piazza del caffe,429.0,230,г,1865.22,
кофе,живой кофе,1599.0,800,г,1998.75,
кофе,molinari,1299.0,250,г,5196.0,4.5
кофе,aro,2499.0,1,кг,2499.0,4.6
кофе,italco,2199.0,1,кг,2199.0,
кофе,alta roma,2499.0,1,кг,2499.0,4.0
кофе,alta roma,2699.0,1,кг,2699.0,4.0
кофе,starbucks,3899.0,450,г,8664.44,
кофе,bialetti,2699.0,1,кг,2699.0,
кофе,coferium,3299.0,50,г,65980.0,5.0
кофе,coferium,1099.0,250,г,4396.0,
кофе,coferium,1099.0,250,г,4396.0,
