Товар,Поставщик,Цена,Количество,Единица,Цена за кг/л,Рейтинг
апельсин,любимый,174.0,970,мл,179.38,4.0
апельсин,j7,289.0,970,мл,297.94,
апельсин,santal,259.0,1,л,259.0,4.4
апельсин,добрый,139.0,1,л,139.0,4.0
яблоко,добрый,124.0,1,л,124.0,
яблоко,j7,179.0,970,мл,184.54,
яблоко,il primo,44.0,200,мл,220.0,
апельсин,добрый,124.0,1,л,124.0,4.0
клюква,чудо-ягода,199.0,970,мл,205.15,5.0
апельсин,rich,109.0,200,мл,545.0,5.0
вишня,il primo,44.0,200,мл,220.0,
апельсин,il primo,62.0,200,мл,310.0,5.0
вишня,rioba,155.0,1,л,155.0,4.8
яблоко,rioba,155.0,1,л,155.0,5.0
апельсин,rioba,177.0,1,л,177.0,
яблоко,rich,99.0,200,мл,495.0,
цитрус,j7,229.0,850,мл,269.41,
томат,добрый,139.0,1,л,139.0,
ананас,rioba,155.0,1,л,155.0,5.0
апельсин,rich,295.0,1,л,295.0,
яблоко,rioba,87.0,250,мл,348.0,5.0
вишня,rich,109.0,200,мл,545.0,
томат,rioba,155.0,1,л,155.0,4.8
апельсин,добрый,269.0,2,л,134.5,5.0
клюква,rioba,219.0,1,л,219.0,4.5
апельсин,rioba,217.0,1,л,217.0,
яблоко,добрый,269.0,2,л,134.5,5.0
томат,il primo,44.0,200,мл,220.0,5.0
яблоко,rich,239.0,1,л,239.0,4.5
яблоко,любимый,149.0,970,мл,153.61,
апельсин,j7,99.0,300,мл,330.0,
персик,rioba,155.0,1,л,155.0,5.0
яблоко,добрый,72.0,300,мл,240.0,5.0
томат,rich,99.0,200,мл,495.0,
персик,rich,239.0,1,л,239.0,5.0
томат,j7,179.0,970,мл,184.54,4.5
грейпфрут,il primo,64.0,200,мл,320.0,
арония,j7,229.0,850,мл,269.41,5.0
мультифрукт,добрый,269.0,2,л,134.5,5.0
апельсин,santal,229.0,1,л,229.0,4.2
томат,rich,239.0,1,л,239.0,4.8
ананас,j7,189.0,970,мл,194.85,4.0
грейпфрут,rich,319.0,1,л,319.0,5.0
вишня,любимый,199.0,1,л,199.0,5.0
вишня,rich,79.0,300,мл,263.33,
,любимый,119.0,950,мл,125.26,
ананас,il primo,59.0,200,мл,295.0,
апельсин,j7,189.0,970,мл,194.85,5.0
грейпфрут,rioba,96.0,250,мл,384.0,5.0
вишня,любимый,119.0,950,мл,125.26,
яблоко,rich,79.0,300,мл,263.33,
,rioba,389.0,3,л,129.67,4.9
виноград,добрый,139.0,1,л,139.0,
томат,любимый,149.0,970,мл,153.61,5.0
яблоко,aro,234.0,3,л,78.0,4.5
виноград,добрый,139.0,1,л,139.0,5.0
апельсин,rich,79.0,300,мл,263.33,
мультифрукт,добрый,124.0,1,л,124.0,5.0
апельсин,я,309.0,970,мл,318.56,5.0
грейпфрут,j7,189.0,970,мл,194.85,5.0
мультифрукт,сады придонья,219.0,2,л,109.5,
томат,добрый,269.0,2,л,134.5,
апельсин,rich,3540.0,12,шт,295.0,
,любимый,119.0,950,мл,125.26,
мультифрукт,rioba,155.0,1,л,155.0,4.8
вишня,santal,229.0,1,л,229.0,
арония,j7,189.0,970,мл,194.85,
манго,il primo,49.0,200,мл,245.0,
клюква,rioba,389.0,3,л,129.67,
апельсин,любимый,209.0,1,л,209.0,
апельсин,добрый,72.0,300,мл,240.0,
виноград,сады придонья,219.0,2,л,109.5,
персик,rich,99.0,200,мл,495.0,
брусника,добрый,139.0,1,л,139.0,
персик,добрый,269.0,2,л,134.5,
апельсин,любимый,229.0,1,л,229.0,
,любимый,119.0,950,мл,125.26,
мультифрукт,добрый,72.0,300,мл,240.0,
апельсин,il primo,261.0,1,л,261.0,5.0
вишня,rioba,87.0,250,мл,348.0,
вишня,сады придонья,119.0,1,л,119.0,4.3
манго,rioba,155.0,1,л,155.0,4.9
вишня,il primo,183.0,1,л,183.0,
брусника,rioba,219.0,1,л,219.0,
томат,rioba,79.0,250,мл,316.0,4.8
яблоко,сады придонья,114.0,1,л,114.0,5.0
мультифрукт,rich,268.0,1,л,268.0,
мультифрукт,j7,179.0,970,мл,184.54,
виноград,сады придонья,99.0,1,л,99.0,4.3
гранат,nar,222.0,1,л,222.0,
виноград,любимый,174.0,970,мл,179.38,
ананас,rich,319.0,1,л,319.0,5.0
грейпфрут,il primo,519.0,8,шт,64.88,
,rioba,219.0,1,л,219.0,4.3
,любимый,199.0,1,л,199.0,
вишня,я,249.0,970,мл,256.7,
гранат,любимый,119.0,950,мл,125.26,
виноград,любимый,119.0,950,мл,125.26,5.0
мультифрукт,сады придонья,99.0,1,л,99.0,5.0
томат,il primo,359.0,8,шт,44.88,4.0
яблоко,сады придонья,119.0,1,л,119.0,5.0
клубника,добрый,124.0,1,л,124.0,
манго,добрый,139.0,1,л,139.0,
апельсин,rioba,99.0,250,мл,396.0,
яблоко,добрый,269.0,2,л,134.5,
томат,любимый,119.0,950,мл,125.26,5.0
банан,santal,189.0,1,л,189.0,5.0
яблоко,любимый,119.0,950,мл,125.26,
ананас,добрый,179.0,1,л,179.0,5.0
яблоко,любимый,34.0,200,мл,170.0,
манго,j7,229.0,850,г,269.41,5.0
,rioba,219.0,1,л,219.0,5.0
клюква,сады придонья,129.0,1,л,129.0,
яблоко,любимый,199.0,1,л,199.0,5.0
яблоко,добрый,44.0,200,мл,220.0,5.0
ананас,santal,287.0,1,л,287.0,5.0
,rioba,238.0,1,л,238.0,4.7
брусника,сады придонья,129.0,1,л,129.0,
персик,сады придонья,114.0,1,л,114.0,5.0
персик,добрый,124.0,1,л,124.0,5.0
персик,rioba,92.0,250,мл,368.0,
апельсин,добрый,874.0,12,шт,72.83,
