Товар,Поставщик,Цена,Количество,Единица,Цена за кг/л,Рейтинг
молоко,простоквашино,142.0,970,мл,146.39,4.6
молоко,rioba,118.0,1,л,118.0,4.8
молоко,neo,179.0,950,г,188.42,
молоко,parmalat,179.0,1,л,179.0,4.6
молоко,parmalat,146.0,1,л,146.0,4.7
молоко,эконива,110.0,1,л,110.0,4.6
молоко,славянские кружева,88.0,973,мл,90.44,
молоко,эконива,110.0,1,л,110.0,4.8
молоко,брянский молочный комбинат,109.0,975,мл,111.79,4.5
молоко,parmalat,147.0,1,л,147.0,4.9
молоко,простоквашино,109.0,930,мл,117.2,4.8
молоко,домик в деревне,127.0,950,г,133.68,
молоко,домик в деревне,117.0,950,г,123.16,5.0
молоко,эконива,109.0,1,л,109.0,
молоко,простоквашино,159.0,970,мл,163.92,5.0
молоко,rioba,106.0,1,л,106.0,4.7
молоко,viola,182.0,973,мл,187.05,4.0
молоко,домик в деревне,205.0,950,г,215.79,4.7
молоко,parmalat,186.0,1,л,186.0,4.3
молоко,эконива,109.0,1,л,109.0,5.0
молоко,viola,192.0,973,мл,197.33,4.6
молоко,брянский молочный комбинат,132.0,975,мл,135.38,4.6
молоко,простоквашино,149.0,950,мл,156.84,
молоко,му-у,112.0,925,мл,121.08,5.0
молоко,parmalat,195.0,1,л,195.0,
молоко,домик в деревне,172.0,1,л,172.0,4.3
молоко,белый город,159.0,1,л,159.0,
молоко,простоквашино,90.0,930,мл,96.77,4.7
молоко,parmalat,162.0,1,л,162.0,4.7
молоко,простоквашино,112.0,930,мл,120.43,
молоко,домик в деревне,149.0,925,мл,161.08,4.1
молоко,правильное молоко,255.0,2,л,127.5,4.6
молоко,эконива,106.0,1,л,106.0,4.8
молоко,вкуснотеево,135.0,900,г,150.0,5.0
молоко,parmalat,197.0,1,л,197.0,4.4
молоко,lactica,57.0,200,мл,285.0,5.0
молоко,домик в деревне,103.0,930,мл,110.75,4.3
молоко,viola,152.0,973,мл,156.22,5.0
молоко,простоквашино,158.0,1,л,158.0,5.0
молоко,viola,172.0,973,мл,176.77,
молоко,домик в деревне,117.0,930,мл,125.81,5.0
молоко,эконива,169.0,1,л,169.0,
молоко,домик в деревне,139.0,950,г,146.32,
молоко,простоквашино,86.0,930,мл,92.47,5.0
молоко,домик в деревне,223.0,1,л,223.0,5.0
молоко,вкуснотеево,133.0,900,г,147.78,4.5
молоко,parmalat,70.0,200,мл,350.0,5.0
молоко,parmalat,193.0,900,мл,214.44,4.5
молоко,простоквашино,146.0,950,мл,153.68,5.0
молоко,parmalat,58.0,200,мл,290.0,5.0
молоко,g-balance,339.0,500,мл,678.0,4.0
молоко,петмол,131.0,970,мл,135.05,
молоко,эконива,117.0,1,л,117.0,5.0
молоко,parmalat,177.0,1,л,177.0,5.0
молоко,parmalat,55.0,200,мл,275.0,5.0
молоко,parmalat,115.0,500,мл,230.0,
молоко,петмол,149.0,1,л,149.0,
молоко,дар гор,121.0,200,мл,605.0,5.0
