Товар,Поставщик,Цена,Количество,Единица,Цена за кг/л,Рейтинг
Батончик,протеиновый,91.0,50,г,1820.0,5.0
Батончик,без,144.0,47,г,3063.83,5.0
Батончик,Bombbar,149.0,60,г,2483.33,
Батончик,протеиновый,99.0,50,г,1980.0,5.0
Батончик,Ол'Лайт,40.0,30,г,1333.33,
Батончик,Ол'Лайт,40.0,30,г,1333.33,
Пирожное,протеиновое,114.0,50,г,2280.0,
Пирожное,протеиновое,114.0,50,г,2280.0,
Батончик,Bombbar,149.0,60,г,2483.33,
Батончик,Ол'Лайт,40.0,30,г,1333.33,
Шоколад,Snaq,89.0,34,г,2617.65,4.6
Батончик,Ол'Лайт,40.0,30,г,1333.33,
Батончик,Bombbar,114.0,40,г,2850.0,5.0
Батончик,R.A.W.,144.0,47,г,3063.83,
Батончик,протеиновый,114.0,40,г,2850.0,5.0
Батончик,протеиновый,158.0,60,г,2633.33,5.0
Панкейк,Snaq,81.0,45,г,1800.0,5.0
Батончик,Snaq,79.0,40,г,1975.0,5.0
Батончик,R.A.W.,144.0,47,г,3063.83,5.0
Батончик,Snaq,99.0,50,г,1980.0,
Батончик,протеиновый,114.0,45,г,2533.33,
Батончик,R.A.W.,144.0,47,г,3063.83,5.0
Батончик,Bombbar,114.0,40,г,2850.0,
Батончик,Bombbar,129.0,45,г,2866.67,
Печенье,Chikalab,149.0,55,г,2709.09,
Печенье,Bombbar,109.0,40,г,2725.0,
Батончик,протеиновый,67.0,40,г,1675.0,5.0
Батончик,Snaq,79.0,40,г,1975.0,
Батончик,протеиновый,161.0,60,г,2683.33,5.0
Батончик,протеиновый,114.0,40,г,2850.0,4.4
Батончик,без,2160.0,15,шт,144.0,
Батончик,ореховый,3160.0,20,шт,158.0,
Батончик,протеиновый,92.0,35,г,2628.57,
Батончик,протеиновый,93.0,40,г,2325.0,
Пирожное,протеиновое,114.0,50,г,2280.0,
Батончик,протеиновый,95.0,35,г,2714.29,5.0
Батончик,протеиновый,95.0,35,г,2714.29,
Печенье,Snaq,144.0,45,г,3200.0,5.0
Печенье,Snaq,1440.0,10,шт,144.0,
Батончик,протеиновый,67.0,40,г,1675.0,
Пирожное,протеиновое,134.0,40,г,3350.0,
Батончик,протеиновый,1697.0,25,шт,67.88,
Пирожное,ProteinRex,114.0,50,г,2280.0,
Батончик,Snaq,152.0,50,г,3040.0,
Пирожное,протеиновое,124.0,70,г,1771.43,5.0
Батончик,Bombbar,129.0,45,г,2866.67,
Шоколад,протеиновый,299.0,100,г,2990.0,
Батончик,шоколадный,114.0,45,г,2533.33,
Пирожное,протеиновое,102.0,50,г,2040.0,
Пирожное,протеиновое,124.0,50,г,2480.0,
Печенье,Ёбатон,173.0,50,г,3460.0,
Батончик,Snaq,79.0,40,г,1975.0,
Батончик,протеиновый,74.0,45,г,1644.44,5.0
Пирожное,протеиновое,102.0,50,г,2040.0,
Батончик,протеиновый,119.0,50,г,2380.0,
Батончик,протеиновый,1150.0,12,шт,95.83,
Пирожное,протеиновое,102.0,40,г,2550.0,
Шоколад,Snaq,119.0,34,г,3500.0,
Пирожное,протеиновое,102.0,40,г,2550.0,
Батончик,протеиновый,133.0,40,г,3325.0,
Печенье,протеиновое,102.0,45,г,2266.67,
Батончик,Chikalab,114.0,45,г,2533.33,5.0
Десерт,протеиновый,161.0,40,г,4025.0,
Десерт,протеиновый,109.0,50,г,2180.0,
Батончик,протеиновый,152.0,45,г,3377.78,5.0
Батончик,протеиновый,1878.0,20,шт,93.9,
Пирожное,протеиновое,114.0,50,г,2280.0,
Пирожное,протеиновое,1368.0,12,шт,114.0,
Батончик,Snaq,2997.0,30,шт,99.9,
Батончик,R.A.W.,2160.0,15,шт,144.0,
Пирожное,ProteinRex,1368.0,12,шт,114.0,
Пирожное,протеиновое,1116.0,9,шт,124.0,5.0
Батончик,Bombbar,2980.0,20,шт,149.0,
Пирожное,протеиновое,992.0,8,шт,124.0,
Пирожное,протеиновое,1368.0,12,шт,114.0,
Пирожное,протеиновое,816.0,8,шт,102.0,
Пирожное,протеиновое,816.0,8,шт,102.0,
Пирожное,протеиновое,1224.0,12,шт,102.0,
Шоколад,протеиновый,599.0,100,г,5990.0,
Батончик,вафельный,44.0,23,г,1913.04,
Батончик,протеиновый,79.0,40,г,1975.0,
Пирожное,протеиновое,124.0,45,г,2755.56,
Батончик,вафельный,1257.0,28,шт,44.89,
Батончик,протеиновый,2397.0,30,шт,79.9,
Батончик,протеиновый,3160.0,20,шт,158.0,
Батончик,протеиновый,3090.0,30,шт,103.0,
Батончик,протеиновый,3090.0,30,шт,103.0,
Шоколад,молочный,3560.0,40,шт,89.0,
Батончик,Snaq,2997.0,30,шт,99.9,
Батончик,Bombbar,3090.0,30,шт,103.0,
Печенье,Chikalab,1192.0,8,шт,149.0,
Пирожное,протеиновое,109.0,45,г,2422.22,
Пирожное,протеиновое,2180.0,20,шт,109.0,
Пирожное,протеиновое,2480.0,20,шт,124.0,
Батончик,протеиновый,152.0,45,г,3377.78,
Батончик,глазированный,2277.0,30,шт,75.9,
Десерт,Ёбатон,1288.0,8,шт,161.0,
Печенье,Ёбатон,1557.0,9,шт,173.0,
Батончик,Chikalab,3420.0,30,шт,114.0,
Батончик,Bombbar,2580.0,20,шт,129.0,
Батончик,Bombbar,2580.0,20,шт,129.0,
Батончик,Snaq,2277.0,30,шт,75.9,
Батончик,Snaq,2277.0,30,шт,75.9,
