Товар,Поставщик,Цена,Количество,Единица,Цена за кг/л,Рейтинг
Напиток,растительный,185.0,1,л,185.0,
Напиток,растительный,185.0,1,л,185.0,
Напиток,растительный,185.0,1,л,185.0,4.8
Напиток,растительный,185.0,1,л,185.0,5.0
Напиток,растительный,185.0,1,л,185.0,4.3
Кокосовое,молоко,465.0,1,л,465.0,4.6
Напиток,соевый,185.0,1,л,185.0,5.0
Кокосовое,молоко,199.0,400,мл,497.5,4.8
Кокосовое,молоко,235.0,500,мл,470.0,4.1
Напиток,соевый,185.0,1,л,185.0,5.0
Кокосовое,молоко,202.0,250,мл,808.0,4.5
Напиток,миндальный,149.0,1,л,149.0,5.0
Напиток,Planto,185.0,1,л,185.0,5.0
RIOBA,Напиток,163.0,1,л,163.0,4.8
Напиток,растительный,185.0,1,л,185.0,4.4
Напиток,фундучный,149.0,1,л,149.0,5.0
Напиток,растительный,125.0,1,л,125.0,4.3
Напиток,соевый,149.0,1,л,149.0,
RIOBA,Напиток,163.0,1,л,163.0,4.3
METRO,Chef,183.0,400,мл,457.5,4.3
RIOBA,Напиток,117.0,1,л,117.0,5.0
Напиток,кокосовый,170.0,1,л,170.0,4.5
Напиток,растительный,123.0,1,л,123.0,4.5
Напиток,растительный,125.0,1,л,125.0,4.5
Кокосовые,сливки,349.0,560,мл,623.21,4.6
RIOBA,Кокосовые,288.0,1,л,288.0,5.0
Напиток,растительный,229.0,1,л,229.0,5.0
Напиток,растительный,125.0,1,л,125.0,
Напиток,миндальный,170.0,1,л,170.0,
Напиток,соево-кокосовый,185.0,1,л,185.0,
RIOBA,Напиток,123.0,1,л,123.0,5.0
Напиток,растительный,29.0,200,мл,145.0,5.0
Крем,кокосовый,292.0,400,мл,730.0,4.0
Напиток,соевый,161.0,1,л,161.0,
Молоко,кокосовое,145.0,200,мл,725.0,4.0
Напиток,растительный,29.0,200,мл,145.0,5.0
Напиток,растительный,146.0,1,л,146.0,5.0
Кокосовое,молоко,185.0,400,мл,462.5,4.2
Напиток,овсяный,132.0,1,л,132.0,
Напиток,овсяный,29.0,200,мл,145.0,
Кокосовые,сливки,669.0,1,л,669.0,5.0
Напиток,соевый,161.0,1,л,161.0,
