Товар,Поставщик,Цена,Количество,Единица,Цена за кг/л
Колбаса,Егорьевская,319.0,350,г,911.43
Ветчина,Черкизово,149.0,150,г,993.33
Колбаса,Мясной,669.0,1,кг,669.0
METRO,Chef,509.0,500,г,1018.0
Колбаса,Останкино,135.0,100,г,1350.0
Колбаски,Мясницкий,259.0,200,г,1295.0
Ветчина,Велком,289.0,350,г,825.71
METRO,Chef,519.0,500,г,1038.0
Колбаса,докторская,109.0,150,г,726.67
Ветчина,Черкизово,209.0,350,г,597.14
Колбаса,Велком,249.0,400,г,622.5
Ветчина,Черкизово,549.0,1,кг,549.0
Колбаса,Пармиджано,259.0,100,г,2590.0
Колбаса,Ближние,399.0,490,г,814.29
Колбаса,салями,1539.0,1,кг,1539.0
Колбаса,Черкизово,1109.0,600,г,1848.33
Колбаса,Клинский,699.0,1,кг,699.0
Ветчина,Рублевский,289.0,400,г,722.5
Колбаса,Рублевский,239.0,400,г,597.5
Колбаса,Черкизово,219.0,300,г,730.0
Сервелат,Мираторг,239.0,330,г,724.24
Колбаса,Ближние,349.0,350,г,997.14
Колбаса,Ближние,259.0,400,г,647.5
METRO,Chef,339.0,500,г,678.0
Колбаса,Останкино,599.0,500,г,1198.0
Колбаса,Дымов,299.0,400,г,747.5
METRO,Chef,549.0,2,кг,274.5
Колбаса,Рублевский,339.0,350,г,968.57
Колбаса,Черкизово,459.0,1,кг,459.0
Колбаса,Рублевский,1899.0,500,г,3798.0
Колбаса,Черкизово,459.0,500,г,918.0
Колбаса,Папа,339.0,1,кг,339.0
Колбаса,Останкино,539.0,500,г,1078.0
METRO,Chef,479.0,500,г,958.0
Колбаса,Ближние,339.0,500,г,678.0
METRO,Chef,479.0,500,г,958.0
Колбаса,Папа,329.0,1,кг,329.0
Колбаса,Велком,249.0,400,г,622.5
Колбаса,Черкизово,389.0,500,г,778.0
Колбаса,Черкизово,539.0,500,г,1078.0
Колбаса,Черкизово,1109.0,600,г,1848.33
Колбаса,Мясницкий,779.0,850,г,916.47
Колбаса,Ремит,1099.0,800,г,1373.75
Колбаса,Casademont,939.0,250,г,3756.0
Колбаса,Дымов,899.0,1,кг,899.0
Ветчина,для,179.0,210,г,852.38
Колбаса,Черкизово,259.0,250,г,1036.0
Колбаса,Тоскана,1239.0,450,г,2753.33
Колбаса,Мясной,319.0,500,г,638.0
Колбаса,Клинский,208.0,190,г,1094.74
Колбаса,Черкизово,749.0,600,г,1248.33
METRO,Chef,479.0,1,кг,479.0
Колбаса,Мираторг,249.0,450,г,553.33
Колбаса,Велком,339.0,360,г,941.67
Колбаса,Докторская,879.0,1,кг,879.0
Колбаски,Мясной,249.0,230,г,1082.61
Ветчина,с,189.0,400,г,472.5
Колбаса,Черкизово,129.0,100,г,1290.0
Колбаса,Черкизово,399.0,500,г,798.0
Колбаса,Черкизово,749.0,550,г,1361.82
Колбаса,Останкино,1999.0,475,г,4208.42
METRO,Chef,479.0,1,кг,479.0
METRO,Chef,529.0,2,кг,264.5
Колбаса,Индилайт,289.0,400,г,722.5
Колбаса,Стародворье,439.0,700,г,627.14
Колбаса,Вязанка,219.0,450,г,486.67
Колбаса,Casademont,149.0,70,г,2128.57
Колбаса,Мясницкий,659.0,,,
Колбаса,Casademont,489.0,250,г,1956.0
Колбаса,Casademont,3819.0,500,г,7638.0
Колбаса,Дымов,919.0,1,кг,919.0
Колбаса,Егорьевская,229.0,200,г,1145.0
Колбаса,Рублевский,369.0,200,г,1845.0
Колбаса,Останкино,479.0,660,г,725.76
Ветчина,Индилайт,139.0,120,г,1158.33
Ветчина,Империя,539.0,800,г,673.75
Колбаса,Папа,479.0,840,г,570.24
Колбаса,Рублевский,529.0,400,г,1322.5
METRO,Chef,399.0,500,г,798.0
Колбаса,Клинский,399.0,400,г,997.5
Колбаса,Клинский,1939.0,500,г,3878.0
Колбаса,фуэт,239.0,100,г,2390.0
Колбаса,сервелат,279.0,300,г,930.0
Колбаса,Останкино,449.0,660,г,680.3
Колбаса,Мираторг,259.0,330,г,784.85
Колбаса,Папа,209.0,500,г,418.0
METRO,Chef,629.0,500,г,1258.0
Колбаса,Рублевский,359.0,400,г,897.5
Колбаса,Дымов,999.0,2,кг,499.5
Колбаса,Велком,204.0,90,г,2266.67
Ветчина,Casademont,139.0,90,г,1544.44
Колбаса,Cortador,269.0,170,г,1582.35
Колбаса,Черкизово,216.0,85,г,2541.18
Колбаса,Черкизово,1569.0,1,кг,1569.0
Ветчина,Черкизово,239.0,400,г,597.5
Колбаса,Cortador,479.0,300,г,1596.67
Колбаса,Рублевский,2199.0,500,г,4398.0
Колбаса,Черкизово,145.0,85,г,1705.88
METRO,Chef,299.0,125,г,2392.0
